datetime,open,high,low,close,volume
2026-04-23 15:10:00,273.63,273.71,273.54,273.54,0
2026-04-23 15:11:00,273.52,273.5899,273.42,273.46,31799
2026-04-23 15:12:00,273.48,273.49,273.3701,273.38,46979
2026-04-23 15:13:00,273.4,273.4586,273.2704,273.29,45773
2026-04-23 15:14:00,273.295,273.488,273.27,273.37,41783
2026-04-23 15:15:00,273.38,273.44,273.3101,273.415,39515
2026-04-23 15:16:00,273.415,273.47,273.355,273.46,23362
2026-04-23 15:17:00,273.46,273.62,273.44,273.45,50171
2026-04-23 15:18:00,273.46,273.58,273.4,273.5435,31367
2026-04-23 15:19:00,273.52,273.55,273.442,273.48,23965
2026-04-23 15:20:00,273.46,273.55,273.45,273.53,34267
2026-04-23 15:21:00,273.52,273.74,273.51,273.705,42894
2026-04-23 15:22:00,273.705,273.72,273.58,273.68,26528
2026-04-23 15:23:00,273.685,273.8,273.68,273.74,37120
2026-04-23 15:24:00,273.715,273.76,273.67,273.69,24285
2026-04-23 15:25:00,273.68,273.805,273.665,273.805,43982
2026-04-23 15:26:00,273.805,273.84,273.66,273.73,71212
2026-04-23 15:27:00,273.7375,273.79,273.66,273.75,24390
2026-04-23 15:28:00,273.73,273.73,273.605,273.62,24334
2026-04-23 15:29:00,273.63,273.75,273.595,273.68,23356
2026-04-23 15:30:00,273.63,274.085,273.6,274.085,86981
2026-04-23 15:31:00,274.09,274.38,274.07,274.2846,167352
2026-04-23 15:32:00,274.32,274.41,274.27,274.33,60883
2026-04-23 15:33:00,274.33,274.35,274.12,274.13,42166
2026-04-23 15:34:00,274.135,274.2,274.05,274.06,47196
2026-04-23 15:35:00,274.05,274.06,273.975,274.05,26710
2026-04-23 15:36:00,274.02,274.06,273.9401,273.9401,78999
2026-04-23 15:37:00,273.945,273.96,273.82,273.87,34524
2026-04-23 15:38:00,273.87,273.88,273.7,273.71,34310
2026-04-23 15:39:00,273.71,273.815,273.66,273.81,67962
2026-04-23 15:40:00,273.8,273.8,273.7,273.735,32800
2026-04-23 15:41:00,273.74,273.78,273.6112,273.67,29000
2026-04-23 15:42:00,273.667,273.675,273.5713,273.6,24525
2026-04-23 15:43:00,273.59,273.6199,273.48,273.495,47437
2026-04-23 15:44:00,273.49,273.49,273.28,273.32,53524
2026-04-23 15:45:00,273.3,273.31,273.1507,273.17,51725
