datetime,open,high,low,close,volume
2026-04-23 16:35:00,338.945,339.0299,338.9401,339.0299,7513
2026-04-23 16:36:00,339.0299,339.08,338.98,339.07,9426
2026-04-23 16:37:00,339.085,339.135,339.0,339.0099,8958
2026-04-23 16:38:00,338.98,339.08,338.98,339.03,10775
2026-04-23 16:39:00,339.0,339.045,338.89,338.94,7624
2026-04-23 16:40:00,338.92,339.0,338.85,338.97,6032
2026-04-23 16:41:00,338.935,338.94,338.85,338.89,7824
2026-04-23 16:42:00,338.91,338.91,338.76,338.82,15109
2026-04-23 16:43:00,338.78,338.81,338.61,338.68,12348
2026-04-23 16:44:00,338.66,338.68,338.485,338.485,15156
2026-04-23 16:45:00,338.53,338.82,338.53,338.69,12595
2026-04-23 16:46:00,338.63,338.76,338.62,338.76,6983
2026-04-23 16:47:00,338.695,338.695,338.6,338.66,7932
2026-04-23 16:48:00,338.67,338.8199,338.62,338.77,10079
2026-04-23 16:49:00,338.815,338.97,338.74,338.95,38138
2026-04-23 16:50:00,338.95,338.99,338.805,338.86,20458
2026-04-23 16:51:00,338.89,338.99,338.89,338.9,8001
2026-04-23 16:52:00,338.93,338.96,338.77,338.83,8196
2026-04-23 16:53:00,338.82,338.825,338.7425,338.7425,11504
2026-04-23 16:54:00,338.7,338.7399,338.67,338.705,4516
2026-04-23 16:55:00,338.67,338.7,338.65,338.68,7454
2026-04-23 16:56:00,338.715,338.78,338.67,338.745,5790
2026-04-23 16:57:00,338.73,338.7988,338.705,338.77,4803
2026-04-23 16:58:00,338.7345,338.735,338.53,338.615,12395
2026-04-23 16:59:00,338.64,338.815,338.64,338.74,12486
2026-04-23 17:00:00,338.7,338.84,338.69,338.84,6426
2026-04-23 17:01:00,338.85,338.985,338.31,338.41,102661
2026-04-23 17:02:00,338.39,338.615,338.31,338.54,43191
2026-04-23 17:03:00,338.595,338.63,338.375,338.45,28097
2026-04-23 17:04:00,338.495,338.54,338.025,338.09,19236
2026-04-23 17:05:00,338.1301,338.19,337.685,337.935,49450
2026-04-23 17:06:00,337.9,338.195,337.835,338.195,40896
2026-04-23 17:07:00,338.22,338.255,338.0,338.13,16125
2026-04-23 17:08:00,338.12,338.25,338.0,338.135,19152
2026-04-23 17:09:00,338.1,338.23,337.67,337.69,37420
2026-04-23 17:10:00,337.62,337.8,337.41,337.8,26729
2026-04-23 17:11:00,337.78,337.925,337.59,337.62,30852
2026-04-23 17:12:00,337.76,337.9,337.4778,337.6902,21734
2026-04-23 17:13:00,337.68,337.69,337.45,337.65,54355
2026-04-23 17:14:00,337.82,337.86,337.71,337.76,40812
2026-04-23 17:15:00,337.71,337.71,337.55,337.58,35045
2026-04-23 17:16:00,337.5501,337.75,337.14,337.16,91255
2026-04-23 17:17:00,337.13,337.475,336.95,337.4568,34521
2026-04-23 17:18:00,337.42,337.505,337.25,337.43,37794
2026-04-23 17:19:00,337.37,337.4,337.145,337.35,13393
2026-04-23 17:20:00,337.31,337.4759,337.14,337.26,15282
2026-04-23 17:21:00,337.28,337.44,337.16,337.27,59140
2026-04-23 17:22:00,337.25,337.34,336.9,336.96,30971
2026-04-23 17:23:00,336.97,337.19,336.92,337.03,14805
2026-04-23 17:24:00,337.04,337.18,336.7475,337.14,43133
2026-04-23 17:25:00,337.12,337.12,336.875,337.02,64273
2026-04-23 17:26:00,337.03,337.57,337.03,337.49,25357
2026-04-23 17:27:00,337.41,337.41,337.0,337.15,17470
2026-04-23 17:28:00,337.12,337.14,336.6,336.81,38199
2026-04-23 17:29:00,336.65,336.76,336.45,336.51,20564
2026-04-23 17:30:00,336.47,336.78,336.47,336.53,11939
2026-04-23 17:31:00,336.55,336.845,336.33,336.715,45304
2026-04-23 17:32:00,336.7,337.085,336.69,337.02,27540
2026-04-23 17:33:00,336.91,336.99,336.82,336.99,15628
2026-04-23 17:34:00,337.05,337.46,337.05,337.44,12730
2026-04-23 17:35:00,337.44,337.62,337.34,337.34,19938
2026-04-23 17:36:00,337.37,337.42,336.72,336.88,26773
2026-04-23 17:37:00,336.77,336.99,336.74,336.95,17455
2026-04-23 17:38:00,337.115,337.115,336.93,337.04,11593
2026-04-23 17:39:00,337.07,337.1,336.89,336.94,23371
2026-04-23 17:40:00,336.96,336.96,336.56,336.665,14962
2026-04-23 17:41:00,336.66,336.66,336.16,336.175,39059
2026-04-23 17:42:00,336.15,336.69,335.945,336.44,102924
2026-04-23 17:43:00,336.37,336.5,336.2,336.49,84942
2026-04-23 17:44:00,336.48,336.48,335.87,336.08,50390
2026-04-23 17:45:00,336.08,336.08,335.45,335.66,46068
2026-04-23 17:46:00,335.5818,335.67,335.06,335.24,81557
2026-04-23 17:47:00,335.3,336.16,335.28,335.9679,73383
2026-04-23 17:48:00,335.865,336.365,335.86,336.115,34029
2026-04-23 17:49:00,336.1499,336.38,336.12,336.355,43679
2026-04-23 17:50:00,336.355,336.605,335.96,336.4854,47628
2026-04-23 17:51:00,336.5,336.62,336.1401,336.5,37228
2026-04-23 17:52:00,336.6,336.6,336.275,336.52,24069
2026-04-23 17:53:00,336.53,338.05,336.42,337.28,191789
2026-04-23 17:54:00,337.1711,337.69,337.04,337.5235,60177
2026-04-23 17:55:00,337.56,338.1,337.43,337.9819,42648
2026-04-23 17:56:00,338.13,338.36,338.0,338.05,32975
2026-04-23 17:57:00,338.05,338.26,337.7701,337.9,53856
2026-04-23 17:58:00,337.95,338.045,337.696,338.03,15640
2026-04-23 17:59:00,338.005,338.24,337.9201,338.13,14618
2026-04-23 18:00:00,338.05,338.205,337.96,338.04,20425
2026-04-23 18:01:00,338.08,338.65,337.89,338.44,30333
2026-04-23 18:02:00,338.47,338.7312,338.32,338.54,34445
2026-04-23 18:03:00,338.71,338.76,338.505,338.58,19074
2026-04-23 18:04:00,338.54,338.63,338.44,338.58,18018
2026-04-23 18:05:00,338.57,339.03,338.495,338.97,36412
2026-04-23 18:06:00,338.95,339.13,338.9201,338.935,32395
2026-04-23 18:07:00,338.95,339.08,338.88,339.0,23776
2026-04-23 18:08:00,338.93,338.995,338.8,338.9,18294
2026-04-23 18:09:00,338.8851,338.95,338.75,338.75,11032
2026-04-23 18:10:00,338.79,339.3,338.79,339.28,35316
2026-04-23 18:11:00,339.2,339.33,339.01,339.01,29555
2026-04-23 18:12:00,339.04,339.175,338.85,338.89,24014
2026-04-23 18:13:00,338.865,339.0,338.75,338.86,12501
2026-04-23 18:14:00,338.9,339.1,338.9,338.98,16859
2026-04-23 18:15:00,339.04,339.085,338.92,339.03,14025
2026-04-23 18:16:00,339.0,339.1599,339.0,339.02,9250
2026-04-23 18:17:00,339.005,339.215,338.925,338.925,18569
2026-04-23 18:18:00,338.92,339.11,338.785,338.95,48148
2026-04-23 18:19:00,338.95,339.02,338.93,339.0101,12330
2026-04-23 18:20:00,339.08,339.335,339.07,339.32,20069
2026-04-23 18:21:00,339.32,339.355,339.0,339.06,46833
2026-04-23 18:22:00,339.06,339.1739,339.055,339.13,15415
2026-04-23 18:23:00,339.12,339.35,339.11,339.3,14460
2026-04-23 18:24:00,339.29,339.33,339.18,339.255,15216
2026-04-23 18:25:00,339.24,339.34,339.22,339.34,12309
2026-04-23 18:26:00,339.32,339.34,339.1521,339.185,11587
2026-04-23 18:27:00,339.23,339.285,339.2,339.21,7561
2026-04-23 18:28:00,339.2,339.33,339.19,339.33,7127
2026-04-23 18:29:00,339.32,339.38,339.32,339.375,14662
2026-04-23 18:30:00,339.34,339.51,339.34,339.46,16721
2026-04-23 18:31:00,339.455,339.54,339.41,339.41,16378
2026-04-23 18:32:00,339.4,339.4019,339.33,339.34,15484
2026-04-23 18:33:00,339.34,339.49,339.29,339.41,20671
2026-04-23 18:34:00,339.4,339.44,339.38,339.43,4412
2026-04-23 18:35:00,339.42,339.59,339.42,339.57,13741
2026-04-23 18:36:00,339.6,339.65,339.57,339.6,20946
2026-04-23 18:37:00,339.6,339.635,339.575,339.63,10732
2026-04-23 18:38:00,339.62,339.62,339.5,339.505,16128
2026-04-23 18:39:00,339.49,339.54,339.41,339.475,9415
2026-04-23 18:40:00,339.485,339.53,339.47,339.47,6978
2026-04-23 18:41:00,339.44,339.45,339.33,339.33,8307
2026-04-23 18:42:00,339.35,339.37,339.0501,339.11,20817
2026-04-23 18:43:00,339.1,339.125,338.95,339.065,13798
2026-04-23 18:44:00,339.08,339.27,339.06,339.22,13848
2026-04-23 18:45:00,339.165,339.2601,339.15,339.255,8966
2026-04-23 18:46:00,339.21,339.22,339.08,339.08,6259
2026-04-23 18:47:00,339.12,339.26,339.09,339.13,11561
2026-04-23 18:48:00,339.095,339.16,339.09,339.16,9862
2026-04-23 18:49:00,339.13,339.13,338.92,338.96,31875
2026-04-23 18:50:00,338.95,338.985,338.83,338.985,11284
2026-04-23 18:51:00,338.98,338.98,338.87,338.97,22755
2026-04-23 18:52:00,338.98,339.005,338.905,338.95,5165
2026-04-23 18:53:00,339.02,339.02,338.9,338.98,13387
2026-04-23 18:54:00,339.0,339.0,338.88,338.91,11256
2026-04-23 18:55:00,338.86,339.01,338.86,338.99,12040
2026-04-23 18:56:00,338.995,338.995,338.755,338.81,11910
2026-04-23 18:57:00,338.72,338.79,338.72,338.7698,6054
2026-04-23 18:58:00,338.75,338.755,338.46,338.55,33805
2026-04-23 18:59:00,338.56,338.56,338.07,338.205,43638
2026-04-23 19:00:00,338.19,338.3,338.05,338.22,25288
2026-04-23 19:01:00,338.2,338.215,337.8501,338.055,25936
2026-04-23 19:02:00,338.01,338.02,337.73,337.74,9840
2026-04-23 19:03:00,337.85,337.92,337.815,337.86,10059
2026-04-23 19:04:00,337.86,337.86,337.69,337.79,9599
2026-04-23 19:05:00,337.84,338.0499,337.7486,337.915,16393
2026-04-23 19:06:00,337.9456,338.075,337.935,337.991,8506
2026-04-23 19:07:00,338.0299,338.145,337.98,338.145,7299
2026-04-23 19:08:00,338.055,338.07,337.875,338.0,13012
2026-04-23 19:09:00,338.04,338.08,338.01,338.01,8109
2026-04-23 19:10:00,337.9001,337.96,337.78,337.81,8316
2026-04-23 19:11:00,337.7855,337.98,337.7855,337.98,11688
2026-04-23 19:12:00,337.8851,337.91,337.82,337.875,10950
