datetime,open,high,low,close,volume
2026-04-23 15:27:00,422.325,422.7,422.04,422.67,0
2026-04-23 15:28:00,422.63,423.36,422.6,423.15,134294
2026-04-23 15:29:00,423.135,423.15,422.4881,422.5,58914
2026-04-23 15:30:00,422.455,422.455,421.9,422.1201,122468
2026-04-23 15:31:00,422.1649,422.9,422.1,422.83,78059
2026-04-23 15:32:00,422.86,423.0,422.4,422.45,60022
2026-04-23 15:33:00,422.45,422.76,422.4,422.565,39057
2026-04-23 15:34:00,422.62,422.8799,422.36,422.375,33208
2026-04-23 15:35:00,422.36,422.43,421.8001,421.975,60155
2026-04-23 15:36:00,421.98,422.14,421.84,421.84,42729
2026-04-23 15:37:00,421.845,421.92,421.37,421.3713,61672
2026-04-23 15:38:00,421.4,421.49,421.25,421.34,46717
2026-04-23 15:39:00,421.4399,421.4399,421.05,421.2801,47410
2026-04-23 15:40:00,421.28,421.3799,421.06,421.295,31375
2026-04-23 15:41:00,421.265,421.44,421.17,421.364,33903
2026-04-23 15:42:00,421.335,421.5,421.24,421.44,22121
2026-04-23 15:43:00,421.44,421.58,421.28,421.47,37309
2026-04-23 15:44:00,421.43,421.5799,421.25,421.39,22273
2026-04-23 15:45:00,421.39,421.39,421.0,421.1,52776
2026-04-23 15:46:00,421.0974,421.13,420.7001,420.8962,65141
2026-04-23 15:47:00,420.84,420.95,420.6801,420.7406,33842
2026-04-23 15:48:00,420.8,420.88,420.3101,420.4699,47788
2026-04-23 15:49:00,420.48,420.51,420.26,420.41,41999
2026-04-23 15:50:00,420.41,420.41,419.6,419.68,120122
2026-04-23 15:51:00,419.68,419.97,419.46,419.46,103978
2026-04-23 15:52:00,419.46,419.665,419.34,419.6494,61020
2026-04-23 15:53:00,419.615,419.95,419.58,419.865,90512
2026-04-23 15:54:00,419.86,419.9022,419.28,419.28,77548
2026-04-23 15:55:00,419.28,419.58,419.06,419.15,136744
2026-04-23 15:56:00,419.2,419.25,418.82,419.0825,100921
2026-04-23 15:57:00,419.1,419.211,418.45,418.775,96931
2026-04-23 15:58:00,418.775,419.15,418.74,419.08,59156
2026-04-23 15:59:00,419.115,419.305,419.09,419.26,59390
2026-04-23 16:00:00,419.19,419.54,419.13,419.45,54449
2026-04-23 16:01:00,419.47,419.67,419.37,419.38,43029
